ONE.V,quarterlyCurrentAssets: 502176.0,quarterlyCurrentLiabilities: 152748.0,quarterlyEBIT: -119147.0,quarterlyEnterpriseValue: 13138181.0,quarterlyNetPPE: 51155.0
1U1.DE,quarterlyCurrentAssets: 2043234000.0,quarterlyCurrentLiabilities: 695486000.0,quarterlyEBIT: 115364000.0,quarterlyEnterpriseValue: 2921860376.0,quarterlyNetPPE: 355675000.0
FLWS,quarterlyCurrentAssets: 382582000.0,quarterlyCurrentLiabilities: 255039000.0,quarterlyEBIT: -38051000.0,quarterlyEnterpriseValue: 656282870.0,quarterlyNetPPE: 349692000.0
TXG,quarterlyCurrentAssets: 562348000.0,quarterlyCurrentLiabilities: 104717000.0,quarterlyEBIT: -91743000.0,quarterlyEnterpriseValue: 4551733368.0,quarterlyNetPPE: 354200000.0
YI,quarterlyCurrentAssets: 3194564000.0,quarterlyCurrentLiabilities: 2980889000.0,quarterlyEBIT: -77943000.0,quarterlyEnterpriseValue: 177142886.0,quarterlyNetPPE: 147490000.0
YQ,quarterlyCurrentAssets: 741113000.0,quarterlyCurrentLiabilities: 187060000.0,quarterlyEBIT: -78669000.0,quarterlyEnterpriseValue: -35483696.0,quarterlyNetPPE: 44299000.0
AUMB.V,quarterlyCurrentAssets: 1235000.0,quarterlyCurrentLiabilities: 3322000.0,quarterlyEBIT: -1663000.0,quarterlyEnterpriseValue: 5291292.0,quarterlyNetPPE: 31210000.0
DIBS,quarterlyCurrentAssets: 150716000.0,quarterlyCurrentLiabilities: 26961000.0,quarterlyEBIT: -3305000.0,quarterlyEnterpriseValue: 18301908.0,quarterlyNetPPE: 23356000.0
2020.OL,quarterlyCurrentAssets: 29400000.0,quarterlyCurrentLiabilities: 19600000.0,quarterlyEBIT: 8300000.0,quarterlyEnterpriseValue: 4279266003.0,quarterlyNetPPE: 340200000.0
XXII,quarterlyCurrentAssets: 40616000.0,quarterlyCurrentLiabilities: 39760000.0,quarterlyEBIT: -71415000.0,quarterlyEnterpriseValue: 351997357.0,quarterlyNetPPE: 12293000.0
ME,quarterlyCurrentAssets: 297995000.0,quarterlyCurrentLiabilities: 101601000.0,quarterlyEBIT: -76477000.0,quarterlyEnterpriseValue: 230838089.0,quarterlyNetPPE: 85354000.0
247.ST,quarterlyCurrentAssets: 230230000.0,quarterlyCurrentLiabilities: 111497000.0,quarterlyEBIT: -30249000.0,quarterlyEnterpriseValue: 607214106.0,quarterlyNetPPE: 7360000.0
2CUREX.ST,quarterlyCurrentAssets: 20695000.0,quarterlyCurrentLiabilities: 3740000.0,quarterlyEBIT: -9248000.0,quarterlyEnterpriseValue: 30740447.0,quarterlyNetPPE: 788000.0
TSVT,quarterlyCurrentAssets: 277254000.0,quarterlyCurrentLiabilities: 68008000.0,quarterlyEBIT: -57244000.0,quarterlyEnterpriseValue: 178562145.0,quarterlyNetPPE: 285234000.0
TWOU,quarterlyCurrentAssets: 233971000.0,quarterlyCurrentLiabilities: 314634000.0,quarterlyEBIT: -28169000.0,quarterlyEnterpriseValue: 1105844320.0,quarterlyNetPPE: 107679000.0
KRKR,quarterlyCurrentAssets: 283968000.0,quarterlyCurrentLiabilities: 167925000.0,quarterlyEBIT: -22684000.0,quarterlyEnterpriseValue: 25895382.0,quarterlyNetPPE: 43654000.0
SCWO,quarterlyCurrentAssets: 16843015.0,quarterlyCurrentLiabilities: 565087.0,quarterlyEBIT: -1882384.0,quarterlyEnterpriseValue: 149907851.0,quarterlyNetPPE: 182099.0
DDD,quarterlyCurrentAssets: 739713000.0,quarterlyCurrentLiabilities: 137928000.0,quarterlyEBIT: -10877000.0,quarterlyEnterpriseValue: 689828832.0,quarterlyNetPPE: 136555000.0
MMM.DE,quarterlyCurrentAssets: 16198000000.0,quarterlyCurrentLiabilities: 15466000000.0,quarterlyEBIT: -2550000000.0,quarterlyEnterpriseValue: 60749759104.0,quarterlyNetPPE: 9786000000.0
MMM,quarterlyCurrentAssets: 16198000000.0,quarterlyCurrentLiabilities: 15466000000.0,quarterlyEBIT: -2550000000.0,quarterlyEnterpriseValue: 64164531296.0,quarterlyNetPPE: 9786000000.0
FNR.V,quarterlyCurrentAssets: 7851000.0,quarterlyCurrentLiabilities: 8065000.0,quarterlyEBIT: -786000.0,quarterlyEnterpriseValue: 3711422.0,quarterlyNetPPE: 71000.0
4C.ST,quarterlyCurrentAssets: 193309000.0,quarterlyCurrentLiabilities: 97211000.0,quarterlyEBIT: -32146000.0,quarterlyEnterpriseValue: 734319308.0,quarterlyNetPPE: 59734000.0
FDMT,quarterlyCurrentAssets: 328243000.0,quarterlyCurrentLiabilities: 18163000.0,quarterlyEBIT: -13974000.0,quarterlyEnterpriseValue: 240621435.0,quarterlyNetPPE: 32688000.0
COE,quarterlyCurrentAssets: 28596000.0,quarterlyCurrentLiabilities: 32182000.0,quarterlyEBIT: -3851000.0,quarterlyEnterpriseValue: 28812947.0,quarterlyNetPPE: 721000.0
FEAM,quarterlyCurrentAssets: 13069000.0,quarterlyCurrentLiabilities: 9224000.0,quarterlyEBIT: -7583000.0,quarterlyEnterpriseValue: 117531597.0,quarterlyNetPPE: 82357000.0
VNP.TO,quarterlyCurrentAssets: 180779000.0,quarterlyCurrentLiabilities: 77232000.0,quarterlyEBIT: 5603000.0,quarterlyEnterpriseValue: 449256156.0,quarterlyNetPPE: 107070000.0
SXTP,quarterlyCurrentAssets: 8894795.0,quarterlyCurrentLiabilities: 2481368.0,quarterlyEBIT: 4213711.0,quarterlyEnterpriseValue: 30168489.0,quarterlyNetPPE: 30370.0
ETNB,quarterlyCurrentAssets: 459526000.0,quarterlyCurrentLiabilities: 25212000.0,quarterlyEBIT: -33766000.0,quarterlyEnterpriseValue: 712183848.0,quarterlyNetPPE: 296000.0
EGHT,quarterlyCurrentAssets: 281935000.0,quarterlyCurrentLiabilities: 229090000.0,quarterlyEBIT: 2220000.0,quarterlyEnterpriseValue: 708028196.0,quarterlyNetPPE: 103904000.0
MASS,quarterlyCurrentAssets: 179827000.0,quarterlyCurrentLiabilities: 22322000.0,quarterlyEBIT: -9089000.0,quarterlyEnterpriseValue: 69480665.0,quarterlyNetPPE: 9531000.0
AMRK,quarterlyCurrentAssets: 1294923000.0,quarterlyCurrentLiabilities: 704978000.0,quarterlyEBIT: 33758000.0,quarterlyEnterpriseValue: 1320719608.0,quarterlyNetPPE: 18516000.0
AKA,quarterlyCurrentAssets: 154163000.0,quarterlyCurrentLiabilities: 88148000.0,quarterlyEBIT: -70890000.0,quarterlyEnterpriseValue: 194406869.0,quarterlyNetPPE: 64950000.0
AOS,quarterlyCurrentAssets: 1504500000.0,quarterlyCurrentLiabilities: 895600000.0,quarterlyEBIT: 178800000.0,quarterlyEnterpriseValue: 9774241393.0,quarterlyNetPPE: 614400000.0
MAERSK-A.CO,quarterlyCurrentAssets: 31959000000.0,quarterlyCurrentLiabilities: 12819000000.0,quarterlyEBIT: 10545000000.0,quarterlyEnterpriseValue: 236827109815.0,quarterlyNetPPE: 37541000000.0
MAERSK-B.CO,quarterlyCurrentAssets: 31959000000.0,quarterlyCurrentLiabilities: 12819000000.0,quarterlyEBIT: 10545000000.0,quarterlyEnterpriseValue: 236827109815.0,quarterlyNetPPE: 37541000000.0
ATEN,quarterlyCurrentAssets: 264631000.0,quarterlyCurrentLiabilities: 111331000.0,quarterlyEBIT: 2209000.0,quarterlyEnterpriseValue: 964831446.0,quarterlyNetPPE: 26054000.0
AZ,quarterlyCurrentAssets: 5038000.0,quarterlyCurrentLiabilities: 4869000.0,quarterlyEBIT: -4952000.0,quarterlyEnterpriseValue: 54868409.0,quarterlyNetPPE: 1891000.0
AAC.ST,quarterlyCurrentAssets: 173767000.0,quarterlyCurrentLiabilities: 205809000.0,quarterlyEBIT: -942000.0,quarterlyEnterpriseValue: 181551494.0,quarterlyNetPPE: 74566000.0
AADI,quarterlyCurrentAssets: 132884000.0,quarterlyCurrentLiabilities: 20517000.0,quarterlyEBIT: -16244000.0,quarterlyEnterpriseValue: -14743878.0,quarterlyNetPPE: 4861000.0
AAK.ST,quarterlyCurrentAssets: 19707000000.0,quarterlyCurrentLiabilities: 10178000000.0,quarterlyEBIT: 1165000000.0,quarterlyEnterpriseValue: 55624123000.0,quarterlyNetPPE: 8277000000.0
AAON,quarterlyCurrentAssets: 425292000.0,quarterlyCurrentLiabilities: 140479000.0,quarterlyEBIT: 64757000.0,quarterlyEnterpriseValue: 4721999298.0,quarterlyNetPPE: 369082000.0
AIR,quarterlyCurrentAssets: 1207200000.0,quarterlyCurrentLiabilities: 393500000.0,quarterlyEBIT: -1700000.0,quarterlyEnterpriseValue: 2423671815.0,quarterlyNetPPE: 198300000.0
