flag small CA,"0,055",TSX Venture Exchange,ONE
flag small DE,"16,50",Equiduct,1U1d
flag small US,"9,07",NASDAQ,FLWS
flag small US,"10,87",NYSE American,VCXB
flag small US,"29,28",NASDAQ,TXG
flag small US,"1,04",NASDAQ,YI
flag small US,"2,67",NASDAQ,YQ
flag small US,"3,85",NASDAQ,TURN
flag small US,"2,15",NASDAQ,ATNF
flag small US,"7,25",NASDAQ,BCOW
flag small CA,"0,080",TSX Venture Exchange,AUMB
flag small CA,"0,020",Canadian Securities Exchange,TGIF
flag small CA,"1,00",Canadian Securities Exchange,EPIC
flag small US,"49,60",NASDAQ,SRCE
flag small US,"5,72",NASDAQ,DIBS
flag small NO,"172,60",OB Match,2020
flag small US,"1,58",NASDAQ,XXII
flag small US,"0,5022",NASDAQ,ME
flag small SE,"14,00",Spotlight Stock Market,247
flag small SE,"0,456",First North Stockholm,2CUREX
flag small US,"4,56",NASDAQ,TSVT
flag small US,"0,2480",NASDAQ,TWOU
flag small US,"0,3597",NASDAQ,KRKR
flag small CA,"0,135",Canadian Securities Exchange,JJJ
flag small US,"1,49",NASDAQ,SCWO
flag small US,"3,35",NYSE,DDD
flag small DE,"90,51",Equiduct,MMMd
flag small US,"96,51",NYSE,MMM
flag small CA,"0,035",TSX Venture Exchange,FNR
flag small SE,"21,30",First North Stockholm,4C
flag small US,"23,93",NASDAQ,FDMT
flag small CA,"0,160",Canadian Securities Exchange,FFNT
flag small US,"7,12",NYSE American,COE
flag small CA,"0,015",Canadian Securities Exchange,FFF
flag small CA,"0,100",TSX Venture Exchange,FIVD.P
flag small US,"1,15",NASDAQ,FEAM
flag small CA,"4,67",Toronto Stock Exchange,VNP
flag small NO,"1,820",Oslo Axess,5PG
flag small US,"0,2298",NASDAQ,SXTP
flag small CA,"0,075",Canadian Securities Exchange,SNR
flag small CA,"0,010",Canadian Securities Exchange,JQ
flag small US,"8,51",NASDAQ,ETNB
flag small US,"2,21",NASDAQ,EGHT
flag small US,"5,70",NASDAQ,MASS
flag small US,"10,38",NASDAQ,NNAG
flag small US,"3,18",NASDAQ,JFU
flag small CA,"29,70",Toronto Stock Exchange,AW.UN
flag small CA,-,TSX Venture Exchange,ALAB.P
flag small CA,-,TSX Venture Exchange,ALCC.P
flag small US,"40,07",NASDAQ,AMRK
flag small US,"14,51",NYSE,AKA
flag small US,"82,84",NYSE,AOS
flag small DK,"9860,00",Large Cap Copenhagen,MAERSK A
flag small DK,"10125,00",Large Cap Copenhagen,MAERSK B
flag small US,"13,06",NYSE,ATEN
flag small IT,"1,8555",Equiduct,A2Am
flag small US,"0,4057",NASDAQ,AZ
flag small CA,"0,100",TSX Venture Exchange,AZC.P
flag small DK,"46,80",Small Cap Copenhagen,AAB
flag small SE,"48,25",First North Stockholm,AAC
flag small US,"1,92",NASDAQ,AADI
flag small CA,-,TSX Venture Exchange,AAD.P
flag small CA,"0,050",TSX Venture Exchange,AAAJ.P
flag small SE,"284,60",Large Cap Stockholm,AAK
flag small NL,"44,92",Equiduct,AALBa
flag small FI,"8,20",First North Helsingfors,AALLON
flag small US,"94,09",NASDAQ,AAON
flag small CA,"0,060",Canadian Securities Exchange,APKI
flag small US,"69,14",NYSE,AIR
flag small CA,"0,105",TSX Venture Exchange,ACCB.P
flag small NO,"117,70",Merkur Market,AASB
flag small FR,"1,918",Equiduct,ABp
flag small US,"11,96",NASDAQ,ABL
flag small CA,"0,040",TSX Venture Exchange,AME
flag small SE,"9,25",Spotlight Stock Market,ABAS
flag small CA,"0,145",TSX Venture Exchange,ABA
flag small SE,"544,20",Large Cap Stockholm,ABB
flag small US,"105,97",NYSE,ABT
flag small DE,"99,70",Equiduct,ABLd
flag small US,"162,64",NYSE,ABBV
flag small DE,"151,26",Equiduct,4ABd
flag small FR,"3,970",Equiduct,ABCAp
flag small US,"3,78",NASDAQ,ABCL
flag small CA,"0,045",TSX Venture Exchange,ABI
flag small SE,"0,013",Nordic SME Sweden,ABIG
flag small CA,"0,090",TSX Venture Exchange,ABM
flag small US,"4,14",NASDAQ,ABEO
flag small SE,"4,71",Spotlight Stock Market,ABERA
flag small US,"121,52",NYSE,ANF
flag small US,"6,82",NYSE,ACP
flag small CA,"0,020",Toronto Stock Exchange,AAB
flag small NO,"5,80",OB Match,ABG
flag small CA,"0,470",Canadian Securities Exchange,AMQ
flag small US,"0,7700",NASDAQ,ABTS
flag small FR,"14,76",Equiduct,ABVXp
flag small US,"15,00",NASDAQ,ABVX
flag small NO,"11,80",OB Match,ABL
flag small US,"1,37",NASDAQ,ABLV
flag small SE,"0,1720",Small Cap Stockholm,ABLI
flag small US,"43,70",NYSE,ABM
flag small NL,"15,090",Equiduct,ABNa
flag small CA,"0,110",Canadian Securities Exchange,ABND
flag small DE,"4,505",Equiduct,YOUd
flag small CA,"0,450",TSX Venture Exchange,ABRA
flag small CA,"2,55",Toronto Stock Exchange,FAP
flag small US,"3,69",NYSE,AWP
flag small US,"16,15",NYSE,HQH
flag small US,"19,59",NYSE,THQ
flag small US,"13,08",NYSE,HQL
flag small US,"7,95",NYSE,AOD
flag small US,"12,77",NYSE,THW
flag small US,"4,74",NASDAQ,ABSI
flag small SE,"338,00",First North Stockholm,ABSO
flag small SE,"9,42",Spotlight Stock Market,ABSL B
flag small US,"1,25",NASDAQ,ABVC
flag small US,"2,48",NASDAQ,ACIU
flag small US,"4,87",NASDAQ,ACTG
flag small SE,"50,60",Mid Cap Stockholm,ACAD
flag small US,"58,30",NASDAQ,ASO
flag small US,"73,94",NASDAQ,ACHC
flag small US,"16,71",NASDAQ,ACAD
flag small US,"17,28",NYSE,AKR
flag small CA,"17,49",Toronto Stock Exchange,ADN
flag small SE,"0,2510",First North Stockholm,ACARIX
flag small SE,"10,65",First North Stockholm,ACAST
flag small US,"2,78",NASDAQ,ACST
flag small US,"10,74",NYSE,ACEL
flag small US,"0,8816",NASDAQ,AXDX
flag small CA,"0,130",TSX Venture Exchange,AXE
flag small US,"300,91",NYSE,ACN
flag small US,"4,82",NYSE,ACCO
flag small US,"7,63",NASDAQ,ACCD
flag small SE,"6,57",First North Stockholm,ACCON
flag small FR,"41,31",Equiduct,ACp
flag small CA,"4,47",Toronto Stock Exchange,ACD
flag small US,"2,13",NASDAQ,ARAY
flag small IT,"16,28",Equiduct,ACEm
flag small US,"4,18",NASDAQ,SLRN
flag small US,"4,39",NASDAQ,ACHV
flag small US,"0,7500",NASDAQ,ACHL
flag small US,"34,10",NASDAQ,ACIW
flag small BE,"161,50",Equiduct,ACKBb
flag small CA,"0,090",TSX Venture Exchange,AKR
flag small CA,"0,58",Toronto Stock Exchange,ARA
flag small US,"0,3001",NASDAQ,ACON
flag small US,"1,21",NASDAQ,ACRS
flag small US,"25,52",NASDAQ,ACMR
flag small CA,"0,040",Canadian Securities Exchange,AGE
flag small CA,"0,065",Canadian Securities Exchange,ACME
flag small US,"40,91",NYSE American,ACU
flag small US,"32,54",NASDAQ,ACNB
flag small NL,"17,46",Equiduct,ACOMOa
flag small SE,"10,20",First North Stockholm,ACOU
flag small CA,"0,52",Canadian Securities Exchange,ACRG.B.U
flag small CA,"0,410",Canadian Securities Exchange,ACRG.A.U
flag small US,"13,30",NYSE,ACR
flag small US,"24,25",NYSE,ACR-C
flag small SE,"8,15",Small Cap Stockholm,ACRI A
flag small SE,"7,88",Small Cap Stockholm,ACRI B
flag small US,"9,09",NASDAQ,ACRV
flag small SE,"0,900",First North Stockholm,ACROUD
flag small US,"0,7799",NASDAQ,ASNS
flag small SE,"4,61",Small Cap Stockholm,ATIC
flag small US,"7,70",NYSE American,ATNM
flag small SE,"0,560",Small Cap Stockholm,ACTI
flag small SE,"0,520",Spotlight Stock Market,ACUC
flag small US,"248,30",NYSE,AYI
flag small US,"3,22",NASDAQ,ABOS
flag small US,"2,20",NASDAQ,ACXP
flag small US,"60,98",NYSE,GOLF
flag small US,"0,1500",NASDAQ,AFIB
flag small SE,"11,56",First North Stockholm,ACUVI
flag small US,"17,45",NASDAQ,ACVA
flag small CA,"0,120",TSX Venture Exchange,ADJ.P
flag small US,"2,26",NASDAQ,ADAG
flag small CA,"0,020",Canadian Securities Exchange,ADMT
flag small US,"0,3000",NASDAQ,JEWL
flag small CA,"0,015",TSX Venture Exchange,ADZ
flag small US,"16,06",NYSE,ADX
flag small US,"20,68",NYSE,PEO
flag small US,"29,50",NYSE American,AE
flag small US,"9,85",NASDAQ,AHCO
flag small US,"1,19",NASDAQ,ADAP
flag small US,"2,62",NASDAQ,ADPT
flag small CA,"0,035",Canadian Securities Exchange,ADPT
flag small CA,"0,220",Canadian Securities Exchange,XTRX
flag small US,"4,41",NYSE,ADCT
flag small CA,"0,245",Toronto Stock Exchange,ADCO
flag small US,"1,02",NASDAQ,ATXG
flag small US,"7,65",NASDAQ,ADXN
flag small SE,"102,60",Large Cap Stockholm,ALIF B
flag small SE,"114,60",Large Cap Stockholm,ANOD B
flag small SE,"232,80",Large Cap Stockholm,ADDT B
flag small US,"96,15",NASDAQ,ADUS
flag small SE,"13,70",First North Stockholm,ADDV A
flag small SE,"7,92",First North Stockholm,ADDV B
flag small US,"10,85",NYSE,AGRO
flag small US,"9,84",NASDAQ,ADEA
flag small CA,"42,58",Toronto Stock Exchange,ADEN
flag small DE,"109,40",Equiduct,ADN1d
flag small NO,"113,40",OB Match,ADE
flag small CA,"0,010",TSX Venture Exchange,ADE
flag small CA,"14,50",Toronto Stock Exchange,DRX
flag small US,"1,70",NASDAQ,ADIL
flag small US,"1,49",NASDAQ,ACET
flag small DE,"226,40",Equiduct,ADSd
flag small US,"29,87",NYSE,ADNT
flag small US,"2,41",NASDAQ,ADTX
flag small US,"13,80",NASDAQ,ANL
flag small DE,"0,1730",Equiduct,ADJd
flag small US,"6,52",NASDAQ,ADMA
flag small FI,"42,25",First North Helsingfors,ADMCM
flag small FI,"2,50",First North Helsingfors,ADMIN
flag small US,"462,83",NASDAQ,ADBE
flag small DE,"438,20",Equiduct,ADBd
flag small FR,"8,36",Equiduct,ADOCp
flag small CA,"0,005",TSX Venture Exchange,RABI
flag small NO,"2,02",Merkur Market,ADS
flag small US,"10,80",NASDAQ,ADSE
flag small US,"6,50",NYSE,ADT
flag small US,"49,62",NYSE,ATGE
flag small US,"3,26",NASDAQ,ADTH
flag small SE,"47,10",First North Stockholm,ADTR
flag small US,"4,38",NASDAQ,ADTN
flag small DE,"19,92",Equiduct,ADVd
flag small CA,"1,40",Canadian Securities Exchange,ACT
flag small FR,"1,230",Equiduct,ADUXp
flag small US,"72,98",NYSE,AAP
flag small CA,"0,025",TSX Venture Exchange,AALI.H
flag small US,"157,00",NYSE,WMS
flag small US,"95,84",NASDAQ,AEIS
flag small CA,"0,020",Canadian Securities Exchange,AUEX
flag small US,"1,50",NASDAQ,AHI
flag small US,"158,38",NASDAQ,AMD
flag small CA,"0,005",TSX Venture Exchange,APC.H
flag small US,"25,26",NYSE,ASIX
flag small CA,"10,74",Toronto Stock Exchange,AAV
flag small US,"4,26",NASDAQ,ADV
flag small CA,"0,035",Canadian Securities Exchange,AOC
flag small CA,"0,005",Canadian Securities Exchange,ADX
flag small SE,"11,35",First North Stockholm,ADVE
flag small US,"11,48",NYSE,AVK
flag small US,"0,1247",NASDAQ,ADN
flag small CA,"0,80",TSX Venture Exchange,AWI
flag small SE,"0,1670",First North Stockholm,ADVBOX
flag small CA,"0,425",TSX Venture Exchange,ADZN
flag small SE,"5,78",Nordic SME Sweden,ADVT
flag small US,"9,72",NASDAQ,ADVM
flag small CA,"0,020",TSX Venture Exchange,ADYA
flag small NL,"1130,20",Equiduct,ADYENa
flag small CA,"0,135",TSX Venture Exchange,ADY
flag small US,"92,36",NYSE,ACM
flag small CA,"16,91",Toronto Stock Exchange,ARE
flag small BE,"60,15",Equiduct,AEDb
flag small IT,"0,836",Equiduct,AEFm
flag small NO,"1,990",Oslo Axess,AEGA
flag small SE,"0,4900",First North Stockholm,AEGIR
flag small CA,"0,390",Toronto Stock Exchange,AEG
flag small NL,"5,856",Equiduct,AGNa
flag small US,"6,17",NYSE,AEG
flag small US,"11,98",NASDAQ,AEHR
flag small US,"3,90",NASDAQ,AMTX
flag small US,"3,85",NYSE American,AEON
flag small CA,"0,015",TSX Venture Exchange,AQS
flag small US,"84,49",NYSE,AER
flag small US,"2,06",NASDAQ,AERT
flag small CA,"0,145",TSX Venture Exchange,AERO
flag small FR,"119,50",Equiduct,ADPp
flag small US,"20,01",NASDAQ,AVTE
flag small US,"159,79",NASDAQ,AVAV
flag small SE,"7,64",Spotlight Stock Market,AERW B
flag small US,"7,13",NASDAQ,ASLE
flag small US,"3,06",NASDAQ,AWIN
flag small US,"17,90",NYSE,AES
flag small US,"0,4500",NASDAQ,AIH
flag small CA,"2,60",Toronto Stock Exchange,AEZS
flag small US,"1,95",NASDAQ,AEZS
flag small CA,"0,070",Canadian Securities Exchange,ATHR
flag small CA,"0,040",Canadian Securities Exchange,AETH
flag small US,"11,01",NASDAQ,GMFI
flag small US,"1,38",NASDAQ,AEMD
